screen_name,acct_age,follower_count,friends_count,statuses_count,favorites_count,avg_status_count,verified_acct,default_image,default_profile,rel_new_acct,isbot
Brahamdagh,3206,472,345,9071,3572,2.8293824079850283,0,0,1,0,0
umbrellaguy_HMP,3582,411,1391,10811,20912,3.018146286990508,0,0,0,0,0
vijayment,663,374,390,20916,21496,31.547511312217196,0,0,1,0,0
Gajjela_Raj,3152,59,127,306,505,0.09708121827411167,0,0,1,0,0
H_Badshah_128,372,15,113,4732,8695,12.720430107526882,0,1,1,0,0
RaamendraSharm3,192,4410,3092,42222,55085,219.90625,0,0,1,1,1
AditiIndiaFirst,3698,11202,865,87694,184712,23.71389940508383,0,0,0,0,0
MightyAshwin,2758,34,244,2022,10744,0.7331399564902102,0,0,1,0,0
MamEkum,650,290,952,19359,52939,29.783076923076923,0,0,1,0,0
IamAaaditya,280,47,205,8483,13191,30.29642857142857,0,0,0,0,0
corpliazon,3173,2931,2905,16651,28279,5.247715096123542,0,0,0,0,0
Sh_Alawadhi81,3478,639,576,63643,32,18.298734905117882,0,0,0,0,0
SushantDarji,1285,81,85,3312,22268,2.577431906614786,0,0,1,0,0
shreyjain361,864,39,355,1102,1207,1.275462962962963,0,0,1,0,0
muthupandi5100,149,414,213,6583,7491,44.18120805369127,0,0,1,1,0
d1g1t,4295,210,53,47051,87774,10.954831199068684,0,0,0,0,0
SKsharm96661932,833,3337,3514,126684,40633,152.08163265306123,0,0,1,0,1
saniaagrawal2,1165,488,566,33361,22770,28.63605150214592,0,0,1,0,0
Nik_singh2460,88,438,762,2138,3048,24.295454545454547,0,0,1,1,0
Srihari_08,634,45,1520,1750,10350,2.7602523659305995,0,0,1,0,0
Halka_Ho_Le,2272,994,2367,14359,5345,6.319982394366197,0,0,1,0,0
ilyas027,3901,93,483,14142,28648,3.625224301461164,0,0,1,0,0
PankajMarskole,3164,86,97,418,3114,0.13211125158027812,0,0,0,0,0
aditi_08,3203,1149,216,17892,6826,5.586013112706837,0,0,0,0,0
Dhillsathish,2864,1521,375,11045,3679,3.8564944134078214,0,0,1,0,0
AjayRajpurohit1,2691,28,90,344,536,0.12783351913786697,0,0,0,0,0
Shrek_178,2667,115,192,363,102,0.1361079865016873,0,0,1,0,0
ribadiyadipen,363,956,3323,50362,51027,138.7382920110193,0,0,1,0,0
jitendr65565765,1693,167,480,3524,36941,2.0815121086828117,0,0,1,0,0
muddusalu,1396,139,379,6513,2410,4.665472779369628,0,0,1,0,0
sharif593,3571,479,454,44787,40751,12.541865023802856,0,0,1,0,0
IamDharmenderN,2048,1639,784,54451,52140,26.58740234375,0,0,1,0,0
MahiK_HARb,1335,9,180,785,3367,0.5880149812734082,0,0,1,0,0
Jiten384444,2054,4423,4378,72121,23600,35.11246348588121,0,0,1,0,1
anansavishnoi,3230,1033,884,14820,29787,4.588235294117647,0,0,1,0,0
mukeshk263,1269,338,637,1808,2961,1.4247438928289993,0,0,1,0,0
sunny27jan,3713,239,415,4781,1259,1.2876380285483437,0,0,0,0,0
Veeresh96162478,687,82,220,13831,13703,20.13245997088792,0,0,1,0,0
KashishBihar,1367,43172,601,115519,755,84.50548646671544,0,0,0,0,1
RaajKum59151681,203,10,42,2382,1489,11.733990147783251,0,0,1,1,0
s1dix,330,1,22,100,10,0.30303030303030304,0,0,1,0,0
kmsiddiqui2003,2836,408,323,11665,24073,4.113187588152328,0,0,1,0,0
Iti_ha_asa,3151,13,64,357,463,0.11329736591558236,0,0,1,0,0
CBarwad,1448,6523,4828,57688,18610,39.83977900552486,0,0,1,0,1
WasiuddinSiddi1,855,27236,174,290586,313728,339.8666666666667,0,0,1,0,1
hyderraoji,2714,83,823,1306,1021,0.4812085482682388,0,0,0,0,0
manavendra108,1145,595,5008,8992,3767,7.853275109170306,0,0,1,0,0
jaitushar,1296,6698,6187,13396,19912,10.33641975308642,0,0,1,0,0
AkshayBhagwat18,1632,166,120,1525,3450,0.9344362745098039,0,0,1,0,0
ddaeng_bby,269,292,946,32979,40689,122.59851301115242,0,0,1,1,0
Shahnawaz_22215,952,343,564,1161,15274,1.2195378151260505,0,0,1,0,0
MukeshV979,768,38,279,227,1951,0.2955729166666667,0,0,1,0,0
aryakpbharadwaj,403,23,186,21,622,0.052109181141439205,0,0,1,0,0
vaibhav1608,3877,197,462,20305,9614,5.237296879030178,0,0,1,0,0
mknadvocate,2322,1732,536,49327,50468,21.243324720068905,0,0,1,0,0
BharatTn,354,990,1115,10648,7745,30.07909604519774,0,0,1,0,0
namonamo2050,1469,235,327,11131,18804,7.5772634445200815,0,0,1,0,0
SANJAY9375,3433,163,435,29375,44445,8.55665598601806,0,0,1,0,0
saffronisgood,1892,231,745,23603,48220,12.475158562367865,0,0,1,0,0
jcsancheti,3143,429,2481,33319,24722,10.601018135539293,0,0,1,0,0
nkishoreyadav,2371,217298,256,20005,4840,8.437368199072122,1,0,0,0,0
SimranKal,3150,117,233,70,212,0.022222222222222223,0,0,0,0,0
RPDULAR,2105,31233,10934,250326,215021,118.91971496437054,0,0,0,0,1
MKuuumar,3609,535,275,33856,38162,9.380991964533111,0,0,0,0,0
Im_Cvganesh,1301,130,508,2697,2273,2.073020753266718,0,0,0,0,0
bharatshitole,3949,478,1105,6525,31606,1.652317042289187,0,0,0,0,0
Cookystae,1921,233,166,7387,38446,3.8453930244664236,0,0,1,0,0
uma_gvp,3894,58,42,1614,2996,0.41448382126348227,0,0,0,0,0
dipakmisra,3659,1762,2361,11997,19380,3.278764689805958,0,0,1,0,0
mmnewsdottv,241,445,0,610,4,2.5311203319502074,0,0,1,1,0
newsind1,172,58,108,394,5,2.2906976744186047,0,0,1,1,0
VijayanSathya83,2180,1602,1716,8801,14081,4.0371559633027525,0,0,1,0,0
ishubhamm,1795,978,227,8129,6450,4.5286908077994426,0,0,0,0,0
ShrikantGore22,887,4,65,505,203,0.5693348365276212,0,1,1,0,0
indiangujarati1,362,3026,3412,16357,18076,45.18508287292818,0,0,1,0,1
imsahil_27,1086,127,58,14693,13011,13.529465930018416,0,0,1,0,0
ilioness_N,573,3611,4137,9639,10038,16.82198952879581,0,0,1,0,0
RajaNoumanPTI,3574,2569,396,31367,2922,8.776440962506994,0,0,0,0,0
Sohailkhan5550,1081,216,19,5129,8833,4.74468085106383,0,0,1,0,0
vs2017a,1048,55,195,13864,11035,13.229007633587786,0,0,1,0,0
i_m_rsg,2222,13,219,73,238,0.03285328532853286,0,0,0,0,0
spanwar25,3586,471,885,11881,1581,3.3131622978248747,0,0,1,0,0
MadhuSPrasad1,1789,116,352,6044,17771,3.3784237003912803,0,0,1,0,0
dinakaranonline,3690,316131,120,397808,393,107.8070460704607,1,0,0,0,1
anandagarwal554,1442,1166,493,14954,2230,10.370319001386962,0,0,1,0,0
AtulMishravika1,1076,12,63,47,84,0.04368029739776952,0,0,1,0,0
mohd019,3324,233,459,8621,134,2.5935619735258726,0,0,0,0,0
deepakkjainfzd,1001,1153,1239,10173,27936,10.162837162837162,0,0,1,0,0
VikramVickyInd1,1527,78,86,2777,1694,1.8185985592665357,0,0,1,0,0
SubhaMsd007,675,34,219,432,698,0.64,0,0,1,0,0
Sk_Zub,3465,89,132,579,12081,0.1670995670995671,0,0,0,0,0
takematchpoints,2527,1154,525,80155,75174,31.719430154333203,0,0,1,0,0
Arakkal_unnii,822,3025,1353,118761,214856,144.47810218978103,0,0,1,0,1
HobiRoy,724,527,226,60561,224557,83.64779005524862,0,0,1,0,0
sibu_57957,2493,2636,2769,89142,4567,35.75691937424789,0,0,1,0,0
GAJAKANITKAR,3043,110,230,3530,1474,1.1600394347683207,0,0,1,0,0
AnandDharamsi,1695,123,537,1578,1676,0.9309734513274336,0,0,1,0,0
INDIANDESHBHAKT,2127,201,150,15272,14167,7.180065820404326,0,0,0,0,0
Athar_Joya,2915,1018,878,15709,26521,5.38902229845626,0,0,0,0,0
ab97917000,3251,119,1309,16638,23647,5.117809904644725,0,0,1,0,0
THYAGAR56759329,393,77,591,4714,30762,11.994910941475826,0,0,1,0,0
N00bMaster2,1021,327,506,6122,11217,5.996082272282076,0,0,1,0,0
sachaturvedi,2251,647,1073,106825,98604,47.45668591737006,0,0,0,0,0
ibbuaskar,2177,598,1610,4170,6995,1.9154800183739091,0,0,0,0,0
nikhilesh_nick,2296,63,310,318,2754,0.13850174216027875,0,0,0,0,0
BmpNews24,1352,124,157,5618,809,4.155325443786983,0,0,1,0,0
Shazia24377383,485,331,289,49256,67793,101.55876288659793,0,0,1,0,0
SahabYadav,3159,98,33,10162,8085,3.216840772396328,0,0,1,0,0
JagE_0,1718,342,216,9750,7203,5.675203725261932,0,0,1,0,0
satrohanmaurya,2300,76,44,1647,3139,0.7160869565217391,0,0,1,0,0
caneberry18,1740,82,53,19553,33808,11.23735632183908,0,0,0,0,0
ZuhaShamsu,1012,15,119,102,846,0.1007905138339921,0,0,1,0,0
